"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured||NR||NR||NR|Acalolepta vastator|Fig Longicorn Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Formulation||50/||NR/||NR/|ml/100 L|||||||||||||||||Population|Abundance|LOEL||50/||NR/||NR/|||ml/100 L|Not reported|~|213.08||NR||NR|Day(s)|Goodwin,S.|154982|Chemical Control of Fig Longicorn, Acalolepta vastator (Newman) (Coleoptera: Cerambycidae), Infesting Grapevines|Aust. J. Entomol.44(1): 71-76|2005|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured||NR||NR||NR|Acalolepta vastator|Fig Longicorn Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Formulation||100/||NR/||NR/|ml/100 L|||||||||||||||||Population|Abundance|LOEL||100/||NR/||NR/|||ml/100 L|Not reported|~|213.08||NR||NR|Day(s)|Goodwin,S.|154982|Chemical Control of Fig Longicorn, Acalolepta vastator (Newman) (Coleoptera: Cerambycidae), Infesting Grapevines|Aust. J. Entomol.44(1): 71-76|2005|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured||42.8||NR||NR|Acalymma vittatum|Striped Cucumber Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, foliar|Natural soil|Field natural|3|Formulation||7.0||NR||NR|fl oz/acre|||||||||||||||||Population|Control|LOEL||7.0||NR||NR|||fl oz/acre|Not reported||NR||14||20|Day(s)|Nixon,K.L.|175435|Potential Impact of Neonicotinoid Insecticides on Honey Bees (Apis mellifera) in Muskmelon Production|M.S.Thesis, Purdue University, West Lafayette, IN:71 p.|2014|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured||NR||NR||NR|Acalymma vittatum|Striped Cucumber Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Multiple routes within environmental exposures|Not reported|Field natural|2|Active ingredient||0.0037/||NR/||NR/|AI g/org|||||||||||||||||Population|Abundance|LOEL||0.0037/||NR/||NR/|||AI g/org|Not reported|<|10||NR||NR|Day(s)|Fleischer,S.J., M.D. Orzolek, D. De Mackiewicz, and L. Otjen|105564|Imidacloprid Effects on Acalymma vittata (Coleoptera: Chrysomelidae) and Bacterial Wilt in Cantaloupe|J. Econ. Entomol.91(4): 940-949|1998|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured||NR||NR||NR|Acalymma vittatum|Striped Cucumber Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|Not reported|Field natural|2|Active ingredient||0.0037/||NR/||NR/|AI g/org|||||||||||||||||Population|Abundance|LOEL||0.0037/||NR/||NR/|||AI g/org|Not reported|<|10||NR||NR|Day(s)|Fleischer,S.J., M.D. Orzolek, D. De Mackiewicz, and L. Otjen|105564|Imidacloprid Effects on Acalymma vittata (Coleoptera: Chrysomelidae) and Bacterial Wilt in Cantaloupe|J. Econ. Entomol.91(4): 940-949|1998|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured||NR||NR||NR|Acalymma vittatum|Striped Cucumber Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Multiple routes within environmental exposures|Not reported|Field natural|2|Active ingredient||52.6/||NR/||NR/|AI g/ha|||||||||||||||||Population|Abundance|LOEL||52.6/||NR/||NR/|||AI g/ha|Not reported|~|14||NR||NR|Day(s)|Fleischer,S.J., M.D. Orzolek, D. De Mackiewicz, and L. Otjen|105564|Imidacloprid Effects on Acalymma vittata (Coleoptera: Chrysomelidae) and Bacterial Wilt in Cantaloupe|J. Econ. Entomol.91(4): 940-949|1998|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Unmeasured||NR||NR||NR|Acanthinus sp.|Antlike Flower Beetle|Insects/Spiders|Adult||NR||NR||NR|Not reported|Environmental, unspecified|No substrate|Lab|3|Active ingredient||225||NR||NR|AI g/ha|||||||||||||||||Mortality|Mortality|NR-LETH||225||NR||NR|||AI g/ha|Not reported||1||NR||NR|Day(s)|Bacci,L., A.L.B. Crespo, T.L. Galvan, E.J.G. Pereira, M.C. Picanco, G.A. Silva, and M. Chediak|102813|Toxicity of Insecticides to the Sweetpotato Whitefly (Hemiptera: Aleyrodidae) and Its Natural Enemies|Pest Manag. Sci.63(7): 699-706|2007|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Technical grade, technical product, technical formulation|Unmeasured||NR||NR||NR|Acantholyda erythrocephala|Pine False Webworm|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|No substrate|Field natural|2|Active ingredient||0.05/||NR/||NR/|AI g/cm of dbh|||||||||||||||||Population|Abundance|NOEL||0.05/||NR/||NR/|||AI g/cm of dbh|Not reported|~|106.54||NR||NR|Day(s)|Helson,B.V., D.B. Lyons, K.W. Wanner, and T.A. Scarr|75422|Control of Conifer Defoliators with Neem-Based Systemic Bioinsecticides Using a Novel Injection Device|Can. Entomol.133(5): 729-744|2001|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Measured||75||NR||NR|Acari|Mite Subclass|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|Natural soil|Field natural|2|Active ingredient||NR/||5.94/||8.88/|AI mg/kg dry soil|||||||||||||||||Population|Diversity, Evenness|LOEL||NR/||5.94/||8.88/|||AI mg/kg dry soil|Not reported||487.04||NR||NR|Day(s)|Reynolds,W.N.|184539|Imidacloprid Insecticide Treatments for Hemlock Woolly Adelgid, Adelges tsugae Annand (Hemiptera: Adelgidae), Affect a Non-Target Soil Arthropod Community Surrounding Eastern Hemlock, Tsuga canadensis (L) Carriere|M.S.Thesis, University of Tennessee, Knoxville, TN:139 p.|2008|
138261413|(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine|Not reported|Measured||75||NR||NR|Acari|Mite Subclass|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Environmental, unspecified|Natural soil|Field natural|2|Active ingredient||NR/||5.94/||8.88/|AI mg/kg dry soil|||||||||||||||||Population|Diversity, Evenness|NOEL||NR/||5.94/||8.88/|||AI mg/kg dry soil|Not reported||639.24||NR||NR|Day(s)|Reynolds,W.N.|184539|Imidacloprid Insecticide Treatments for Hemlock Woolly Adelgid, Adelges tsugae Annand (Hemiptera: Adelgidae), Affect a Non-Target Soil Arthropod Community Surrounding Eastern Hemlock, Tsuga canadensis (L) Carriere|M.S.Thesis, University of Tennessee, Knoxville, TN:139 p.|2008|
