"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||99.0||NR||NR|Araecerus fasciculatus|Coffee Bean Weevil|Insects/Spiders|Adult||NR||NR||NR|Not reported|Topical, general|No substrate|Lab|NR|Active ingredient||27.2||22.8||32.2|ug/g bdwt|||||||||||||||||Mortality|Mortality|LD50||27.2||22.8||32.2|||ug/g bdwt|Not reported||1||NR||NR|Day(s)|Childers,C.C., and H.N. Nigg|107388|Contact Toxicity of Insecticides to Adults of the Coffee Bean Weevil (Coleoptera:  Anthribidae)|J. Econ. Entomol.75(3): 556-559|1982|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||99.0||NR||NR|Araecerus fasciculatus|Coffee Bean Weevil|Insects/Spiders|Adult||NR||NR||NR|Not reported|Topical, general|No substrate|Lab|NR|Active ingredient||19.7||14.8||23.9|ug/g bdwt|||||||||||||||||Mortality|Mortality|LD50||19.7||14.8||23.9|||ug/g bdwt|Not reported||1||NR||NR|Day(s)|Childers,C.C., and H.N. Nigg|107388|Contact Toxicity of Insecticides to Adults of the Coffee Bean Weevil (Coleoptera:  Anthribidae)|J. Econ. Entomol.75(3): 556-559|1982|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Musca domestica|House Fly|Insects/Spiders|Young||NR||24||48|Hour(s)|Food|Filter paper|Lab|11|Active ingredient||25||19||33|mg/L|||||||||||||||||Mortality|Mortality|LC50||25||19||33|||mg/L|Not reported||1||NR||NR|Day(s)|Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski|103312|Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera:  Muscidae)|J. Econ. Entomol.79(6): 1439-1442|1986|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Musca domestica|House Fly|Insects/Spiders|Adult||9||NR||NR|Day(s)|Food|Filter paper|Lab|11|Active ingredient||28||17||44|mg/L|||||||||||||||||Mortality|Mortality|LC50||28||17||44|||mg/L|Not reported||1||NR||NR|Day(s)|Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski|103312|Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera:  Muscidae)|J. Econ. Entomol.79(6): 1439-1442|1986|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Musca domestica|House Fly|Insects/Spiders|Young||NR||24||48|Hour(s)|Food|Filter paper|Lab|11|Active ingredient||47||26||75|mg/L|||||||||||||||||Mortality|Mortality|LC50||47||26||75|||mg/L|Not reported||1||NR||NR|Day(s)|Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski|103312|Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera:  Muscidae)|J. Econ. Entomol.79(6): 1439-1442|1986|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Musca domestica|House Fly|Insects/Spiders|Young||NR||24||48|Hour(s)|Food|Filter paper|Lab|11|Active ingredient||40||21||71|mg/L|||||||||||||||||Mortality|Mortality|LC50||40||21||71|||mg/L|Not reported||1||NR||NR|Day(s)|Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski|103312|Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera:  Muscidae)|J. Econ. Entomol.79(6): 1439-1442|1986|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Musca domestica|House Fly|Insects/Spiders|Young||NR||24||48|Hour(s)|Food|Filter paper|Lab|11|Active ingredient||13||9||19|mg/L|||||||||||||||||Mortality|Mortality|LC50||13||9||19|||mg/L|Not reported||1||NR||NR|Day(s)|Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski|103312|Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera:  Muscidae)|J. Econ. Entomol.79(6): 1439-1442|1986|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Musca domestica|House Fly|Insects/Spiders|Young||NR||24||48|Hour(s)|Food|Filter paper|Lab|11|Active ingredient||83||56||120|mg/L|||||||||||||||||Mortality|Mortality|LC50||83||56||120|||mg/L|Not reported||1||NR||NR|Day(s)|Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski|103312|Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera:  Muscidae)|J. Econ. Entomol.79(6): 1439-1442|1986|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Musca domestica|House Fly|Insects/Spiders|Adult||3||NR||NR|Day(s)|Food|Filter paper|Lab|11|Active ingredient||900||511||1586|mg/L|||||||||||||||||Mortality|Mortality|LC50||900||511||1586|||mg/L|Not reported||1||NR||NR|Day(s)|Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski|103312|Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera:  Muscidae)|J. Econ. Entomol.79(6): 1439-1442|1986|
58842209|Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine|Technical grade, technical product, technical formulation|Unmeasured||95||NR||NR|Musca domestica|House Fly|Insects/Spiders|Young||NR||24||48|Hour(s)|Food|Filter paper|Lab|11|Active ingredient||170||100||290|mg/L|||||||||||||||||Mortality|Mortality|LC50||170||100||290|||mg/L|Not reported||1||NR||NR|Day(s)|Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski|103312|Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera:  Muscidae)|J. Econ. Entomol.79(6): 1439-1442|1986|
