"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not coded|Not coded||100.0||NR||NR|Anas platyrhynchos|Mallard Duck|Birds; Standard Test Species|Not coded||8||NR||NR|Day(s)|Food|No substrate|Lab|NC|Active ingredient|>|4430||NR||NR|ppm|||||||||||||||||Mortality|Mortality|LC50|>|4430||NR||NR|||ppm|Not coded||8||NR||NR|Day(s)|U.S. Environmental Protection Agency|344|Pesticide Ecotoxicity Database (Formerly: Environmental Effects Database (EEDB))|Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:|1992|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not coded|Not coded||100.0||NR||NR|Anas platyrhynchos|Mallard Duck|Birds; Standard Test Species|Not coded||8||NR||NR|Day(s)|Food|No substrate|Lab|NC|Active ingredient|<|617||NR||NR|ppm|||||||||||||||||Mortality|Mortality|NOEL|<|617||NR||NR|||ppm|Not coded||8||NR||NR|Day(s)|U.S. Environmental Protection Agency|344|Pesticide Ecotoxicity Database (Formerly: Environmental Effects Database (EEDB))|Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:|1992|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||14.4||NR||NR|Apis mellifera|Honey Bee|Insects/Spiders; Standard Test Species; U.S. Invasive Species|Not reported||4||NR||NR|Day(s)|Food|No substrate|Lab|7|Active ingredient||29.46||25.27||34.86|AI mg/L diet|||||||||||||||||Mortality|Mortality|LC50||29.46||25.27||34.86|||AI mg/L diet|Not reported||7||NR||NR|Day(s)|Wang,Y., Y.C. Zhu, and W. Li|187375|Comparative Examination on Synergistic Toxicities of Chlorpyrifos, Acephate, or Tetraconazole Mixed with Pyrethroid Insecticides to Honey Bees (Apis mellifera L.)|Environ. Sci. Pollut. Res.27(7): 6971-6980|2020|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Apis mellifera|Honey Bee|Insects/Spiders; Standard Test Species; U.S. Invasive Species|Not reported||NR||4||6|Day(s)|Spray, unspecified|No substrate|Lab|'7-8|Formulation||575.31||525.19||628.69|mg/L|||||||||||||||||Mortality|Mortality|LC50||575.31||525.19||628.69|||mg/L|Not reported||2||NR||NR|Day(s)|Zhu,Y.C., J. Adamczyk, T. Rinderer, J. Yao, R. Danka, R. Luttrell, and J. Gore|180995|Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae)|J. Econ. Entomol.108(6): 2640-2647|2015|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||14.4||NR||NR|Apis mellifera|Honey Bee|Insects/Spiders; Standard Test Species; U.S. Invasive Species|Not reported||4||NR||NR|Day(s)|Food|No substrate|Lab|7|Active ingredient||45.99||37.33||59.69|AI mg/L diet|||||||||||||||||Mortality|Mortality|LC50||45.99||37.33||59.69|||AI mg/L diet|Not reported||2||NR||NR|Day(s)|Wang,Y., Y.C. Zhu, and W. Li|187375|Comparative Examination on Synergistic Toxicities of Chlorpyrifos, Acephate, or Tetraconazole Mixed with Pyrethroid Insecticides to Honey Bees (Apis mellifera L.)|Environ. Sci. Pollut. Res.27(7): 6971-6980|2020|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Apis mellifera|Honey Bee|Insects/Spiders; Standard Test Species; U.S. Invasive Species|Not reported||NR||NR||NR|Not reported|Food|No substrate|Lab|7|Active ingredient||45.99||37.33||59.69|AI ug/ml diet|||||||||||||||||Mortality|Mortality|LC50||45.99||37.33||59.69|||AI ug/ml diet|Not reported||2||NR||NR|Day(s)|Wang,Y., Y.C. Zhu, W. Li, J. Yao, G.V.P. Reddy, and L. Lv|187371|Binary and Ternary Toxicological Interactions of Clothianidin and Eight Commonly Used Pesticides on Honey Bees (Apis mellifera)|Ecotoxicol. Environ. Saf.223:9p.|2021|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||14.4||NR||NR|Apis mellifera|Honey Bee|Insects/Spiders; Standard Test Species; U.S. Invasive Species|Not reported||4||NR||NR|Day(s)|Food|No substrate|Lab|7|Active ingredient||33.03||28.26||39.46|AI mg/L diet|||||||||||||||||Mortality|Mortality|LC50||33.03||28.26||39.46|||AI mg/L diet|Not reported||4||NR||NR|Day(s)|Wang,Y., Y.C. Zhu, and W. Li|187375|Comparative Examination on Synergistic Toxicities of Chlorpyrifos, Acephate, or Tetraconazole Mixed with Pyrethroid Insecticides to Honey Bees (Apis mellifera L.)|Environ. Sci. Pollut. Res.27(7): 6971-6980|2020|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Apis mellifera|Honey Bee|Insects/Spiders; Standard Test Species; U.S. Invasive Species|Not reported||NR||NR||NR|Not reported|Food|No substrate|Lab|7|Active ingredient||33.03||28.26||39.46|AI ug/ml diet|||||||||||||||||Mortality|Mortality|LC50||33.03||28.26||39.46|||AI ug/ml diet|Not reported||4||NR||NR|Day(s)|Wang,Y., Y.C. Zhu, W. Li, J. Yao, G.V.P. Reddy, and L. Lv|187371|Binary and Ternary Toxicological Interactions of Clothianidin and Eight Commonly Used Pesticides on Honey Bees (Apis mellifera)|Ecotoxicol. Environ. Saf.223:9p.|2021|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Apis mellifera|Honey Bee|Insects/Spiders; Standard Test Species; U.S. Invasive Species|Not reported||NR||4||6|Day(s)|Spray, unspecified|No substrate|Lab|'7-8|Active ingredient||82.84||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50||82.84||NR||NR|||AI mg/L|Not reported||2||NR||NR|Day(s)|Zhu,Y.C., J. Adamczyk, T. Rinderer, J. Yao, R. Danka, R. Luttrell, and J. Gore|180995|Spray Toxicity and Risk Potential of 42 Commonly Used Formulations of Row Crop Pesticides to Adult Honey Bees (Hymenoptera: Apidae)|J. Econ. Entomol.108(6): 2640-2647|2015|
76703623|(1R,3R)-3-(2-Chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylic acid (S)-cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Apis mellifera|Honey Bee|Insects/Spiders; Standard Test Species; U.S. Invasive Species|Not reported||NR||NR||NR|Not reported|Food|No substrate|Lab|7|Active ingredient||29.46||25.27||34.86|AI ug/ml diet|||||||||||||||||Mortality|Mortality|LC50||29.46||25.27||34.86|||AI ug/ml diet|Not reported||7||NR||NR|Day(s)|Wang,Y., Y.C. Zhu, W. Li, J. Yao, G.V.P. Reddy, and L. Lv|187371|Binary and Ternary Toxicological Interactions of Clothianidin and Eight Commonly Used Pesticides on Honey Bees (Apis mellifera)|Ecotoxicol. Environ. Saf.223:9p.|2021|
