"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year"|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Abelmoschus esculentus|Okra|Flowers, Trees, Shrubs, Ferns|Not reported||31||NR||NR|Days post planting/sowing|Spray, unspecified|Natural soil|Field natural|2|Formulation||0.0075/||NR/||NR/|%|||||||||||||||||Population|Biomass|NOEL||0.0075/||NR/||NR/|||%|Not reported||NR||NR||NR|Harvest|Biswas,A.K., and S.K. Senapati|47607|Compatibility of Synthetic Pyrethroids with Organophosphate Insecticides to Control the Pests of Bhendi|Environ. Ecol.16(3): 526-529|1998|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Abelmoschus esculentus|Okra|Flowers, Trees, Shrubs, Ferns|Not reported||31||NR||NR|Days post planting/sowing|Spray, unspecified|Natural soil|Field natural|2|Formulation||0.0075/||NR/||NR/|%|||||||||||||||||Growth|Height|NOEL||0.0075/||NR/||NR/|||%|Whole organism||NR||NR||NR|Harvest|Biswas,A.K., and S.K. Senapati|47607|Compatibility of Synthetic Pyrethroids with Organophosphate Insecticides to Control the Pests of Bhendi|Environ. Ecol.16(3): 526-529|1998|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Abelmoschus sp.|Okra|Flowers, Trees, Shrubs, Ferns|Not reported||35||NR||NR|Day(s)|Spray, hand|Natural soil|Field natural|2|Active ingredient||50||NR||NR|AI g/ha|||||||||||||||||Population|Biomass|NOEL||50||NR||NR|||AI g/ha|Not reported||NR||NR||NR|Harvest|Chari,M.S., A.R. Patel, and T.M. Bharpoda|153449|Bio-Efficacy of Some New Insecticides Against Okra Fruit Borer (Earias vittella F.)|Pesticides 21(1): 43-45|1987|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acalymma vittatum|Striped Cucumber Beetle|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Active ingredient||0.1/||NR/||NR/|AI lb/acre|||||||||||||||||Population|Abundance|NOEL||0.1/||NR/||NR/|||AI lb/acre|Not reported||9||NR||NR|Day(s)|McLeod,P.|88802|Insect Control in Zucchini, 1985|Insectic. Acaric. Tests11:202-|1986|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Acherontia styx|Death's-head Hawkmoth|Insects/Spiders|Egg||NR||NR||NR|Not reported|Spray, foliar|No substrate|Field natural|2|Active ingredient||100/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Hatch|LOEL||100/||NR/||NR/|||AI g/ha|Not reported||6||NR||NR|Day(s)|Goel,S.C., and S. Kumar|154388|Ovicidal Action of Synthetic Pyrethroids on the Eggs of Bihar Hairy Caterpillar, Spilosoma obliqua (Walker) and Sesamum sphinx, Acherontia styx (West Wood)|Entomon16(3): 237-239|1991|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Agrotis flammatra|Gram Cutworm|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Formulation||0.008/||NR/||NR/|%|||||||||||||||||Population|Abundance|LOEL||0.008/||NR/||NR/|||%|Not reported||2||NR||NR|Day(s)|Ombir, R. Chauhan, G.R. Batra, and K.S. Khokhar|158654|Instant and Effective Chemical Control of Gram Cutworm on Chickpea|Pesticides 23(8): 42-44|1989|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Agrotis flammatra|Gram Cutworm|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Formulation||0.008/||NR/||NR/|%|||||||||||||||||Population|Abundance|LOEL||0.008/||NR/||NR/|||%|Not reported||5||NR||NR|Day(s)|Ombir, R. Chauhan, G.R. Batra, and K.S. Khokhar|158654|Instant and Effective Chemical Control of Gram Cutworm on Chickpea|Pesticides 23(8): 42-44|1989|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Aleochara bilineata|Rove Beetle|Insects/Spiders|Adult||NR||1||2|Week(s)|Spray, unspecified|Filter paper|Lab|2|Active ingredient||0.0144||NR||NR|AI %|||||||||||||||||Mortality|Hatch|LOEL||0.0144||NR||NR|||AI %|Egg||15||NR||NR|Day(s)|Samsoe-Petersen,L.|63489|Effects of 45 Insecticides, Acaricides and Molluscicides on the Rove Beetle Aleochara bilineata (Col.: Staphylinidae) in the Laboratory|Entomophaga38(3): 371-382|1993|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Aleochara bilineata|Rove Beetle|Insects/Spiders|Adult||NR||1||2|Week(s)|Spray, unspecified|Filter paper|Lab|2|Active ingredient||0.0144||NR||NR|AI %|||||||||||||||||Reproduction|Progeny counts/numbers|LOEL||0.0144||NR||NR|||AI %|Not reported||5||NR||NR|Day(s)|Samsoe-Petersen,L.|63489|Effects of 45 Insecticides, Acaricides and Molluscicides on the Rove Beetle Aleochara bilineata (Col.: Staphylinidae) in the Laboratory|Entomophaga38(3): 371-382|1993|
69409945|N-[2-Chloro-4-(trifluoromethyl)phenyl]-DL-valine cyano(3-phenoxyphenyl)methyl ester|Not reported|Unmeasured||NR||NR||NR|Aleyrodidae|Whitefly Family|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Formulation||0.003/||NR/||NR/|%|||||||||||||||||Population|Abundance|LOEL||0.003/||NR/||NR/|||%|Not reported||7||NR||NR|Day(s)|Banbote,B.G., R.B. Gawande, and S.U. Satpute|153358|Efficacy of Different Synthetic and Herbal Insecticides Against the Pests of Cotton|PKV Res. J.19(2): 104-106|1995|
